Unnamed: 0,server_name,IP,logname,authenticate,date,petition,URL,status,bytes,referer,user-agent,level
51,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:01+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3366.3 Safari/537.36",0
52,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:02+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3366.3 Safari/537.36",0
53,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:06+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2449.159 Safari/537.36",0
54,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:07+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2449.159 Safari/537.36",0
55,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:07+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2449.159 Safari/537.36",0
56,www.sitgesanytime.com,66.249.70.98,-,-,2024-01-22 00:01:07+01:00,GET,/es/pl330/actualidad/agenda/id1056/els-pastorets-2.htm HTTP/1.1,200,17307,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.224 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",0
57,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:08+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2449.159 Safari/537.36",0
58,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:12+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3954.144 Safari/537.36",0
59,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:13+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3954.144 Safari/537.36",0
60,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:14+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3954.144 Safari/537.36",0
61,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:14+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3954.144 Safari/537.36",0
62,www.sitgesanytime.com,40.77.167.28,-,-,2024-01-22 00:01:13+01:00,GET,/ca/pl349/actualitat/noticies/id297/l-exposicio-de-la-cubana-ofereix-jornades-de-portes-obertes.htm HTTP/2.0,200,11933,-,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",0
63,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:18+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.2103.1 Safari/537.36",0
64,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:19+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.2103.1 Safari/537.36",0
65,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:20+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.2103.1 Safari/537.36",0
66,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:20+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.2103.1 Safari/537.36",0
67,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:24+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.2277.141 Safari/537.36",0
68,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:25+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.2277.141 Safari/537.36",0
69,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:26+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.2277.141 Safari/537.36",0
70,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:26+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.2277.141 Safari/537.36",0
